"branch","sigma_3","sigma_1","sigma_n","tau","alpha_deg","beta_deg","beta_rad","sigma_n_pri","tau_pri"
"NGC",-20,0,-20,0,90,90,1.5707963267949,-1,1.46211335345151e-16
"NGC",-20,75.5124925468789,-19.9999972176221,0.0163018969401524,89.9902208613139,89.9804417226279,1.57045497045873,-0.999999860881103,0.000815094847007621
"NGC",-20,75.5124925468789,-19.9999888704886,0.0326037919807373,89.9804417226279,89.9608834452557,1.57011361412257,-0.99999944352443,0.00163018959903686
"NGC",-20,75.5124925468789,-19.9999749586005,0.0489056832221825,89.9706625839418,89.9413251678836,1.56977225778641,-0.999998747930028,0.00244528416110912
"NGC",-20,75.5124925468789,-19.9999554819596,0.0652075687649452,89.9608834452558,89.9217668905115,1.56943090145025,-0.999997774097978,0.00326037843824726
"NGC",-20,75.5124925468789,-19.9999304405679,0.0815094467094517,89.9511043065697,89.9022086131394,1.56908954511409,-0.999996522028394,0.00407547233547258
"NGC",-20,75.5124925468789,-19.9998998344285,0.0978113151561394,89.9413251678836,89.8826503357673,1.56874818877793,-0.999994991721423,0.00489056575780697
"NGC",-20,75.5124925468789,-19.9998636635448,0.114113172205447,89.9315460291976,89.8630920583952,1.56840683244176,-0.999993183177241,0.00570565861027235
"NGC",-20,75.512492546879,-19.9998219279212,0.130415015957804,89.9217668905115,89.843533781023,1.5680654761056,-0.999991096396061,0.0065207507978902
"NGC",-20,75.512492546879,-19.9997746275625,0.146716844513673,89.9119877518255,89.8239755036509,1.56772411976944,-0.999988731378125,0.00733584222568365
"NGC",-20,75.512492546879,-19.9997217624742,0.163018655973487,89.9022086131394,89.8044172262788,1.56738276343328,-0.999986088123709,0.00815093279867435
"NGC",-20,75.512492546879,-19.9996633326624,0.179320448437691,89.8924294744533,89.7848589489067,1.56704140709712,-0.99998316663312,0.00896602242188455
"NGC",-20,75.5124925468791,-19.999599338134,0.195622220006733,89.8826503357673,89.7653006715346,1.56670005076095,-0.9999799669067,0.00978111100033664
"NGC",-20,75.5124925468792,-19.9995297788964,0.211923968781052,89.8728711970812,89.7457423941624,1.56635869442479,-0.999976488944821,0.0105961984390526
"NGC",-20,75.5124925468794,-19.9994546549578,0.228225692861122,89.8630920583952,89.7261841167903,1.56601733808863,-0.999972732747888,0.0114112846430561
"NGC",-20,75.5124925468797,-19.9993739663268,0.244527390347388,89.8533129197091,89.7066258394182,1.56567598175247,-0.999968698316339,0.0122263695173694
"NGC",-20,75.51249254688,-19.9992877130129,0.260829059340309,89.843533781023,89.6870675620461,1.56533462541631,-0.999964385650644,0.0130414529670155
"NGC",-20,75.5124925468805,-19.9991958950261,0.277130697940347,89.833754642337,89.667509284674,1.56499326908015,-0.999959794751305,0.0138565348970173
"NGC",-20,75.5124925468812,-19.9990985123772,0.293432304247957,89.8239755036509,89.6479510073018,1.56465191274398,-0.999954925618859,0.0146716152123978
"NGC",-20,75.5124925468821,-19.9989955650774,0.309733876363629,89.8141963649649,89.6283927299297,1.56431055640782,-0.999949778253871,0.0154866938181814
"NGC",-20,75.5124925468832,-19.9988870531388,0.326035412387826,89.8044172262788,89.6088344525576,1.56396920007166,-0.999944352656942,0.0163017706193913
"NGC",-20,75.5124925468846,-19.9987729765741,0.342336910421027,89.7946380875927,89.5892761751855,1.5636278437355,-0.999938648828704,0.0171168455210513
"NGC",-20,75.5124925468864,-19.9986533353964,0.358638368563713,89.7848589489067,89.5697178978134,1.56328648739934,-0.999932666769822,0.0179319184281857
"NGC",-20,75.5124925468888,-19.9985281296198,0.374939784916361,89.7750798102206,89.5501596204413,1.56294513106318,-0.999926406480992,0.0187469892458181
"NGC",-20,75.5124925468916,-19.9983973592589,0.391241157579484,89.7653006715346,89.5306013430691,1.56260377472701,-0.999919867962944,0.0195620578789742
"NGC",-20,75.5124925468951,-19.9982610243288,0.407542484653569,89.7555215328485,89.511043065697,1.56226241839085,-0.99991305121644,0.0203771242326784
"NGC",-20,75.5124925468994,-19.9981191248455,0.423843764239118,89.7457423941624,89.4914847883249,1.56192106205469,-0.999905956242275,0.0211921882119559
"NGC",-20,75.5124925469047,-19.9979716608255,0.440144994436639,89.7359632554764,89.4719265109528,1.56157970571853,-0.999898583041275,0.022007249721832
"NGC",-20,75.512492546911,-19.997818632286,0.456446173346637,89.7261841167903,89.4523682335807,1.56123834938237,-0.999890931614299,0.0228223086673318
"NGC",-20,75.5124925469184,-19.9976600392448,0.472747299069652,89.7164049781043,89.4328099562085,1.5608969930462,-0.999883001962239,0.0236373649534826
"NGC",-20,75.5124925469273,-19.9974958817204,0.489048369706201,89.7066258394182,89.4132516788364,1.56055563671004,-0.999874794086018,0.0244524184853101
"NGC",-20,75.5124925469379,-19.9973261597319,0.505349383356818,89.6968467007321,89.3936934014643,1.56021428037388,-0.999866307986594,0.0252674691678409
"NGC",-20,75.5124925469502,-19.9971508732991,0.521650338122043,89.6870675620461,89.3741351240922,1.55987292403772,-0.999857543664955,0.0260825169061021
"NGC",-20,75.5124925469647,-19.9969700224424,0.537951232102412,89.67728842336,89.35457684672,1.55953156770156,-0.999848501122122,0.0268975616051206
"NGC",-20,75.5124925469815,-19.996783607183,0.554252063398502,89.667509284674,89.3350185693479,1.5591902113654,-0.999839180359149,0.0277126031699251
"NGC",-20,75.512492547001,-19.9965916275424,0.570552830110864,89.6577301459879,89.3154602919758,1.55884885502923,-0.999829581377122,0.0285276415055432
"NGC",-20,75.5124925470235,-19.9963940835432,0.58685353034007,89.6479510073019,89.2959020146037,1.55850749869307,-0.999819704177159,0.0293426765170035
"NGC",-20,75.5124925470494,-19.9961909752083,0.603154162186698,89.6381718686158,89.2763437372316,1.55816614235691,-0.999809548760413,0.0301577081093349
"NGC",-20,75.512492547079,-19.9959823025613,0.619454723751323,89.6283927299297,89.2567854598595,1.55782478602075,-0.999799115128065,0.0309727361875662
"NGC",-20,75.5124925471127,-19.9957680656266,0.635755213134564,89.6186135912437,89.2372271824873,1.55748342968459,-0.999788403281331,0.0317877606567282
