"branch","sigma_3","sigma_1","sigma_n","tau","alpha_deg","beta_deg","sigma1_sigma3_ratio"
"UC",0,160,30.1219693616161,62.5474384738211,64.285185952658,38.5703719053161,Inf
"UC",3.2006401280256,173.362423136623,36.9101023945424,67.8213414585249,63.5710955957576,37.1421911915152,54.1649220787487
"UC",6.40128025605121,185.96428927773,43.5500609898769,72.7359260616268,62.9450100045377,35.8900200090754,29.0511088156053
"UC",9.60192038407682,197.940480822571,50.0603759509549,77.3498587728093,62.3878274663311,34.7756549326623,20.6146763256673
"UC",12.8025605121024,209.39017748745,56.4555991787537,81.7071542790319,61.886097591044,33.772195182088,16.3553358946838
"UC",16.003200640128,220.388833667016,62.7474654323484,85.8418887197224,61.4299800503967,32.8599601007934,13.7715472437677
"UC",19.2038407681536,230.995437066232,68.9456395544621,89.7811139449299,61.0120521797815,32.024104359563,12.0286061447301
"UC",22.4044808961792,241.257139516725,75.0582196693306,93.546750397994,60.6265731826009,31.2531463652017,10.7682539325367
"UC",25.6051210242048,251.212336882064,81.0920888430329,97.1568666038215,60.2690094703814,30.5380189407628,9.81101931307373
"UC",28.8057611522304,260.89278927039,87.0531684687446,100.626573034074,59.9357169963598,29.8714339927196,9.05696564974082
"UC",32.006401280256,270.325123554146,92.9466055843833,103.968664145696,59.6237219741771,29.2474439483541,8.44597057904484
"UC",35.2070414082817,279.53192486385,98.7769144070516,107.194090595658,59.3305654557551,28.6611309115101,7.93965961587721
"UC",38.4076815363073,288.532546659141,104.548085307297,110.312313734229,59.0541906247917,28.1083812495834,7.51236562890128
"UC",41.6083216643329,297.343723286186,110.263670101694,113.331576522439,58.7928594183766,27.5857188367533,7.14625611878674
"UC",44.8089617923585,305.980040874649,115.926849780163,116.259113862021,58.5450897505944,27.0901795011888,6.82854564434094
"UC",48.0096019203841,314.454304668974,121.540488977467,119.101318184826,58.3096075035301,26.6192150070602,6.54982112100084
"UC",51.2102420484097,322.777829343097,127.107180286233,121.863871456735,58.0853092954604,26.1706185909208,6.3029936284615
"UC",54.4108821764353,330.960671160711,132.629280677366,124.551851596313,57.8712332418818,25.7424664837637,6.08261909975145
"UC",57.6115223044609,339.011815615302,138.108941712054,127.169819142674,57.6665357310569,25.3330714621138,5.88444467451699
"UC",60.8121624324865,346.939330560193,143.548134815212,129.721888492445,57.4704727853346,24.9409455706691,5.70509774167897
"UC",64.0128025605121,354.750492282795,148.948672580316,132.211786948399,57.2823849610172,24.5647699220344,5.54186784663029
"UC",67.2134426885377,362.451890145976,154.312226855304,134.642904044356,57.1016850087554,24.2033700175108,5.39255059178492
"UC",70.4140828165633,370.04951408849,159.640344195297,137.018333041139,56.9278477092656,23.8556954185313,5.25533386627376
"UC",73.6147229445889,377.548828296185,164.934459144307,139.340906065731,56.7604014391711,23.5208028783421,5.12871356699084
"UC",76.8153630726145,384.9548336251,170.195905714024,141.613224048546,56.5989211247034,23.1978422494068,5.01143024294759
"UC",80.0160032006401,392.27212080684,175.42592735525,143.837682372986,56.443022317582,22.886044635164,4.90242082978349
"UC",83.2166433286657,399.504916047197,180.625685661247,146.01649296702,56.2923561849641,22.5847123699282,4.80078143105754
"UC",86.4172834566913,406.657120306428,185.79626799806,148.15170342371,56.1466052490904,22.2932104981808,4.70573829724961
"UC",89.617923584717,413.73234329942,190.938694221946,150.245213626292,56.0054797457732,22.0109594915464,4.61662496462902
"UC",92.8185637127425,420.73393305813,196.053922616197,152.29879026573,55.8687144967956,21.7374289935912,4.53286407620171
"UC",96.0192038407682,427.66500174436,201.142855157285,154.314079569197,55.7360662115008,21.4721324230017,4.45395279941678
"UC",99.2198439687938,434.528448278261,206.206342202201,156.292618502456,55.6073111487246,21.2146222974492,4.37945103415933
"UC",102.420484096819,441.326978249927,211.245186674164,158.235844664523,55.4822430827857,20.9644861655714,4.30897180521755
"UC",105.621124224845,448.063121502416,216.260147811853,160.14510505691,55.3606715272556,20.7213430545111,4.24217337952761
"UC",108.821764352871,454.739247710654,221.251944537441,162.021663880402,55.2424201782488,20.4848403564976,4.1787527560764
"UC",112.022404480896,461.357580228519,226.221258490496,163.866709488275,55.1273255454474,20.2546510908948,4.11844025636137
"UC",115.223044608922,467.92020843376,231.168736768041,165.681360605144,55.0152357443181,20.0304714886363,4.06099500340341
"UC",118.423684736947,474.429098765233,236.094994405372,167.46667190422,54.9060094272625,19.8120188545251,4.00620112285033
"UC",121.624324864973,480.886104617894,241.000616627451,169.223639022246,54.7995148349473,19.5990296698947,3.95386453451456
"UC",124.824964992999,487.29297523677,245.88616089669,170.953203079997,54.695628951953,19.391257903906,3.90381022950099
"UC",128.025605121024,493.651363730983,250.752158779536,172.656254766758,54.5942367532686,19.1884735065372,3.85587994889248
"UC",131.22624524905,499.962834311934,255.599117651362,174.333638039193,54.4952305301505,18.990461060301,3.80993019622768
"UC",134.426885377075,506.228868845535,260.427522256726,175.986153478237,54.3985092855203,18.7970185710406,3.76583052880778
"UC",137.627525505101,512.450872796292,265.237836139933,177.614561341963,54.3039781904688,18.6079563809375,3.72346208300678
"UC",140.828165633127,518.630180630854,270.030502959041,179.219584347434,54.2115480946027,18.4230961892055,3.68271629683756
"UC",144.028805761152,524.768060739899,274.805947694869,180.801910210433,54.1211350839594,18.2422701679189,3.64349379949827
"UC",147.229445889178,530.86571992983,279.564577765246,182.362193968368,54.03266008105,18.0653201621001,3.60570344283861
"UC",150.430086017203,536.924307529362,284.306784053535,183.901060108579,53.9460484823068,17.8920969646135,3.56926145390862
"UC",153.630726145229,542.944919150593,289.032941859493,185.419104521634,53.8612298288142,17.7224596576284,3.53409069118986
"UC",156.831366273255,548.928600139452,293.743411779596,186.916896296908,53.7781375067263,17.5562750134525,3.5001199899198
"UC",160.03200640128,554.876348746309,298.438540523234,188.394979375742,53.6967084742152,17.3934169484304,3.4672835842285
"UC",163.232646529306,560.78911904399,303.118661670447,189.853874075775,53.6168830121841,17.2337660243682,3.43552059571189
"UC",166.433286657331,566.667823617378,307.784096376334,191.294078498512,53.5386044963047,17.0772089926094,3.40477457964336
"UC",169.633926785357,572.513336046073,312.435154026699,192.716069830888,53.4618191882301,16.9236383764602,3.37499312133764
